NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_AXONEME_ASSEMBLY	GOBP_AXONEME_ASSEMBLY	Details ...	43	0.71937245	2.27471	0.0	0.0	0.0	1862	tags=67%, list=14%, signal=78%	
GOBP_AXONEMAL_DYNEIN_COMPLEX_ASSEMBLY	GOBP_AXONEMAL_DYNEIN_COMPLEX_ASSEMBLY	Details ...	19	0.7465879	1.9632527	0.002057613	0.066304624	0.148	2420	tags=79%, list=19%, signal=97%	
GOBP_MICROTUBULE_BUNDLE_FORMATION	GOBP_MICROTUBULE_BUNDLE_FORMATION	Details ...	70	0.55736583	1.9272652	0.0	0.08264006	0.261	1862	tags=47%, list=14%, signal=55%	
GOBP_SPERM_AXONEME_ASSEMBLY	GOBP_SPERM_AXONEME_ASSEMBLY	Details ...	16	0.7542329	1.919752	0.0	0.07272008	0.295	1769	tags=69%, list=14%, signal=80%	
GOBP_GLYCOSIDE_METABOLIC_PROCESS	GOBP_GLYCOSIDE_METABOLIC_PROCESS	Details ...	16	0.7414994	1.9172022	0.0019305019	0.060814403	0.306	1149	tags=44%, list=9%, signal=48%	
GOBP_FAT_SOLUBLE_VITAMIN_METABOLIC_PROCESS	GOBP_FAT_SOLUBLE_VITAMIN_METABOLIC_PROCESS	Details ...	17	0.74822193	1.9081976	0.0	0.05724853	0.337	1498	tags=47%, list=12%, signal=53%	
GOBP_PROTEIN_LOCALIZATION_TO_CILIUM	GOBP_PROTEIN_LOCALIZATION_TO_CILIUM	Details ...	53	0.57265145	1.8893052	0.0	0.066473946	0.427	1853	tags=42%, list=14%, signal=48%	
GOBP_SPERMATID_DIFFERENTIATION	GOBP_SPERMATID_DIFFERENTIATION	Details ...	79	0.5288942	1.8730383	0.0	0.07550458	0.52	1930	tags=39%, list=15%, signal=46%	
GOBP_PHOTORECEPTOR_CELL_MAINTENANCE	GOBP_PHOTORECEPTOR_CELL_MAINTENANCE	Details ...	27	0.64178866	1.8617535	0.0	0.078627326	0.578	1037	tags=33%, list=8%, signal=36%	
GOBP_CILIUM_MOVEMENT	GOBP_CILIUM_MOVEMENT	Details ...	77	0.52399117	1.829034	0.0	0.1099714	0.735	2069	tags=47%, list=16%, signal=55%	
GOBP_CAMERA_TYPE_EYE_PHOTORECEPTOR_CELL_DIFFERENTIATION	GOBP_CAMERA_TYPE_EYE_PHOTORECEPTOR_CELL_DIFFERENTIATION	Details ...	16	0.7066641	1.7806723	0.001992032	0.18812346	0.919	1390	tags=50%, list=11%, signal=56%	
GOBP_VITAMIN_TRANSPORT	GOBP_VITAMIN_TRANSPORT	Details ...	22	0.64113504	1.7753897	0.0018796993	0.18300372	0.935	1249	tags=32%, list=10%, signal=35%	
GOBP_EYE_PHOTORECEPTOR_CELL_DIFFERENTIATION	GOBP_EYE_PHOTORECEPTOR_CELL_DIFFERENTIATION	Details ...	27	0.6033531	1.7661862	0.00203666	0.18953465	0.952	1390	tags=41%, list=11%, signal=46%	
GOBP_EYE_MORPHOGENESIS	GOBP_EYE_MORPHOGENESIS	Details ...	92	0.47612226	1.7333081	0.0	0.2589191	0.991	1546	tags=32%, list=12%, signal=36%	
GOBP_MISMATCH_REPAIR	GOBP_MISMATCH_REPAIR	Details ...	33	0.57969075	1.7289937	0.0	0.2535558	0.992	2783	tags=33%, list=21%, signal=42%	
GOBP_NON_MOTILE_CILIUM_ASSEMBLY	GOBP_NON_MOTILE_CILIUM_ASSEMBLY	Details ...	45	0.54227287	1.7230809	0.0	0.25192028	0.995	2717	tags=49%, list=21%, signal=62%	
GOBP_CAMERA_TYPE_EYE_DEVELOPMENT	GOBP_CAMERA_TYPE_EYE_DEVELOPMENT	Details ...	190	0.43042457	1.7198367	0.0	0.24666314	0.997	1619	tags=30%, list=12%, signal=34%	
GOBP_PHOTORECEPTOR_CELL_DIFFERENTIATION	GOBP_PHOTORECEPTOR_CELL_DIFFERENTIATION	Details ...	37	0.55742484	1.7144231	0.009416196	0.24727565	0.999	1798	tags=41%, list=14%, signal=47%	
GOBP_CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY	GOBP_CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY	Details ...	57	0.5114892	1.7060742	0.0	0.25516078	0.999	1769	tags=40%, list=14%, signal=47%	
