NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	GOBP_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	Details ...	100	-0.7475188	-3.2008307	0.0	0.0	0.0	2358	tags=82%, list=18%, signal=99%	
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY	GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY	Details ...	117	-0.7080583	-3.0775115	0.0	0.0	0.0	2126	tags=69%, list=16%, signal=82%	
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	Details ...	113	-0.6985317	-3.0231502	0.0	0.0	0.0	2358	tags=73%, list=18%, signal=88%	
GOBP_TRANSLATIONAL_INITIATION	GOBP_TRANSLATIONAL_INITIATION	Details ...	175	-0.62010056	-2.8851848	0.0	0.0	0.0	2555	tags=60%, list=20%, signal=74%	
GOBP_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	GOBP_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	Details ...	139	-0.61374116	-2.7479775	0.0	0.0	0.0	2403	tags=63%, list=19%, signal=77%	
GOBP_VIRAL_GENE_EXPRESSION	GOBP_VIRAL_GENE_EXPRESSION	Details ...	186	-0.58888817	-2.7204509	0.0	0.0	0.0	2847	tags=60%, list=22%, signal=75%	
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS	GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS	Details ...	193	-0.5702951	-2.6697254	0.0	0.0	0.0	2358	tags=52%, list=18%, signal=63%	
GOBP_SISTER_CHROMATID_SEGREGATION	GOBP_SISTER_CHROMATID_SEGREGATION	Details ...	175	-0.5695839	-2.5939834	0.0	0.0	0.0	2235	tags=49%, list=17%, signal=58%	
GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION	GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION	Details ...	147	-0.57568866	-2.5726192	0.0	0.0	0.0	2235	tags=50%, list=17%, signal=59%	
GOBP_CELL_CYCLE_DNA_REPLICATION	GOBP_CELL_CYCLE_DNA_REPLICATION	Details ...	59	-0.65325564	-2.4999576	0.0	0.0	0.0	2201	tags=66%, list=17%, signal=79%	
