NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_VESICLE_MEDIATED_TRANSPORT_IN_SYNAPSE	GOBP_VESICLE_MEDIATED_TRANSPORT_IN_SYNAPSE	Details ...	156	0.60582703	2.51222	0.0	0.0	0.0	2430	tags=52%, list=19%, signal=63%	
GOBP_REGULATION_OF_SYNAPTIC_PLASTICITY	GOBP_REGULATION_OF_SYNAPTIC_PLASTICITY	Details ...	138	0.60946155	2.486816	0.0	0.0	0.0	1739	tags=46%, list=13%, signal=52%	
GOBP_SYNAPTIC_VESICLE_EXOCYTOSIS	GOBP_SYNAPTIC_VESICLE_EXOCYTOSIS	Details ...	85	0.64117306	2.4662578	0.0	0.0	0.0	2430	tags=58%, list=19%, signal=70%	
GOBP_NEUROTRANSMITTER_SECRETION	GOBP_NEUROTRANSMITTER_SECRETION	Details ...	119	0.61641806	2.4595988	0.0	0.0	0.0	2430	tags=53%, list=19%, signal=65%	
GOBP_REGULATION_OF_NEUROTRANSMITTER_RECEPTOR_ACTIVITY	GOBP_REGULATION_OF_NEUROTRANSMITTER_RECEPTOR_ACTIVITY	Details ...	60	0.66728526	2.4352455	0.0	0.0	0.0	1946	tags=65%, list=15%, signal=76%	
GOBP_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC	GOBP_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC	Details ...	59	0.6824285	2.433708	0.0	0.0	0.0	2221	tags=63%, list=17%, signal=75%	
GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	Details ...	95	0.62235796	2.4092789	0.0	0.0	0.0	2251	tags=55%, list=17%, signal=66%	
GOBP_COGNITION	GOBP_COGNITION	Details ...	191	0.56205916	2.3923967	0.0	0.0	0.0	2238	tags=45%, list=17%, signal=53%	
GOBP_REGULATION_OF_CATION_CHANNEL_ACTIVITY	GOBP_REGULATION_OF_CATION_CHANNEL_ACTIVITY	Details ...	110	0.6034807	2.3792522	0.0	0.0	0.0	1842	tags=54%, list=14%, signal=62%	
GOBP_NEUROTRANSMITTER_RECEPTOR_TRANSPORT	GOBP_NEUROTRANSMITTER_RECEPTOR_TRANSPORT	Details ...	36	0.7332727	2.378463	0.0	0.0	0.0	1689	tags=58%, list=13%, signal=67%	
GOBP_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	GOBP_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	Details ...	149	0.5683426	2.368277	0.0	0.0	0.0	2422	tags=54%, list=19%, signal=65%	
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTRASPECIES_INTERACTION_BETWEEN_ORGANISMS	GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTRASPECIES_INTERACTION_BETWEEN_ORGANISMS	Details ...	32	0.74464446	2.3593252	0.0	0.0	0.0	1339	tags=56%, list=10%, signal=63%	
GOBP_REGULATION_OF_TRANSPORTER_ACTIVITY	GOBP_REGULATION_OF_TRANSPORTER_ACTIVITY	Details ...	175	0.5519323	2.3394253	0.0	0.0	0.0	2730	tags=52%, list=21%, signal=65%	
GOBP_REGULATION_OF_NEUROTRANSMITTER_LEVELS	GOBP_REGULATION_OF_NEUROTRANSMITTER_LEVELS	Details ...	154	0.5633804	2.3392675	0.0	0.0	0.0	2430	tags=47%, list=19%, signal=57%	
GOBP_GLUTAMATE_SECRETION	GOBP_GLUTAMATE_SECRETION	Details ...	29	0.73176473	2.3101676	0.0	0.0	0.0	1334	tags=59%, list=10%, signal=65%	
GOBP_MEMORY	GOBP_MEMORY	Details ...	77	0.6104696	2.3094015	0.0	0.0	0.0	1604	tags=42%, list=12%, signal=47%	
GOBP_REGULATION_OF_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC	GOBP_REGULATION_OF_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC	Details ...	44	0.6793991	2.307395	0.0	0.0	0.0	2221	tags=66%, list=17%, signal=79%	
GOBP_PROTEIN_LOCALIZATION_TO_SYNAPSE	GOBP_PROTEIN_LOCALIZATION_TO_SYNAPSE	Details ...	65	0.6299667	2.291179	0.0	0.0	0.0	2802	tags=66%, list=22%, signal=84%	
GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL	GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL	Details ...	82	0.6127859	2.2850196	0.0	0.0	0.0	1973	tags=52%, list=15%, signal=61%	
GOBP_ADULT_BEHAVIOR	GOBP_ADULT_BEHAVIOR	Details ...	78	0.60877687	2.2848876	0.0	0.0	0.0	1100	tags=37%, list=8%, signal=40%	
GOBP_POTASSIUM_ION_TRANSPORT	GOBP_POTASSIUM_ION_TRANSPORT		123	0.567982	2.2844336	0.0	0.0	0.0	2431	tags=46%, list=19%, signal=56%	
GOBP_NEUROTRANSMITTER_TRANSPORT	GOBP_NEUROTRANSMITTER_TRANSPORT		149	0.54817826	2.2762258	0.0	4.1735537E-5	0.001	1799	tags=40%, list=14%, signal=45%	
GOBP_POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION	GOBP_POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION		107	0.5722008	2.2667723	0.0	7.993283E-5	0.002	1946	tags=47%, list=15%, signal=55%	
