NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_REGULATION_OF_CARDIOCYTE_DIFFERENTIATION	GOBP_REGULATION_OF_CARDIOCYTE_DIFFERENTIATION	Details ...	15	-0.7892457	-1.9925783	0.0	0.10539864	0.087	1513	tags=53%, list=12%, signal=60%	
GOBP_CEREBRAL_CORTEX_RADIALLY_ORIENTED_CELL_MIGRATION	GOBP_CEREBRAL_CORTEX_RADIALLY_ORIENTED_CELL_MIGRATION	Details ...	21	-0.7086483	-1.9229388	0.0	0.17489079	0.259	1654	tags=57%, list=13%, signal=65%	
GOBP_TELENCEPHALON_GLIAL_CELL_MIGRATION	GOBP_TELENCEPHALON_GLIAL_CELL_MIGRATION	Details ...	16	-0.7432261	-1.8581153	0.0	0.33055606	0.56	1390	tags=56%, list=11%, signal=63%	
GOBP_NEGATIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS	GOBP_NEGATIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS	Details ...	29	-0.63800126	-1.8545734	0.0	0.26363248	0.584	2854	tags=62%, list=22%, signal=79%	
GOBP_REGULATION_OF_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION	GOBP_REGULATION_OF_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION	Details ...	66	-0.53133	-1.8489519	0.0	0.2294324	0.621	2955	tags=48%, list=23%, signal=62%	
GOBP_MICROTUBULE_DEPOLYMERIZATION	GOBP_MICROTUBULE_DEPOLYMERIZATION	Details ...	36	-0.58790725	-1.837523	0.0021645022	0.22235261	0.674	3127	tags=56%, list=24%, signal=73%	
GOBP_POSITIVE_REGULATION_OF_GLYCOLYTIC_PROCESS	GOBP_POSITIVE_REGULATION_OF_GLYCOLYTIC_PROCESS	Details ...	16	-0.7231083	-1.8340579	0.0	0.19857377	0.693	1827	tags=50%, list=14%, signal=58%	
GOBP_POSITIVE_REGULATION_OF_AXON_EXTENSION	GOBP_POSITIVE_REGULATION_OF_AXON_EXTENSION	Details ...	33	-0.6062135	-1.8282689	0.001980198	0.18929946	0.717	3256	tags=58%, list=25%, signal=77%	
GOBP_REGULATION_OF_CATION_CHANNEL_ACTIVITY	GOBP_REGULATION_OF_CATION_CHANNEL_ACTIVITY	Details ...	110	-0.47977433	-1.8228428	0.0	0.17895101	0.745	2272	tags=43%, list=18%, signal=51%	
GOBP_REGULATION_OF_CHOLESTEROL_BIOSYNTHETIC_PROCESS	GOBP_REGULATION_OF_CHOLESTEROL_BIOSYNTHETIC_PROCESS	Details ...	41	-0.56351185	-1.8196957	0.0	0.1706843	0.759	1474	tags=41%, list=11%, signal=47%	
GOBP_SARCOMERE_ORGANIZATION	GOBP_SARCOMERE_ORGANIZATION	Details ...	20	-0.66997266	-1.816234	0.00407332	0.16173057	0.776	948	tags=35%, list=7%, signal=38%	
GOBP_FEAR_RESPONSE	GOBP_FEAR_RESPONSE	Details ...	22	-0.65954345	-1.8145899	0.0	0.15103392	0.784	1429	tags=32%, list=11%, signal=36%	
